rsi_long,rsi_short,allow_slope_or,atr_mult_stop,zone_pad_frac,zz_atr_mult,ext_pref,days,n,netR,pf,maxDD,win%,long_n,long_netR,long_win%,short_n,short_netR,short_win%
48,50,False,0.25,0.012,1.7,"('161', '127')",208,328,-8.87954402513514,0.9332896333032368,-24.949862974655723,49.08536585365854,203,3.198420172434613,52.70935960591133,125,-12.07796419756975,43.2
48,50,False,0.25,0.012,1.9,"('161', '127')",208,312,-9.212303028260575,0.9250576739781983,-21.469868650478773,49.67948717948718,186,3.904401238801154,53.76344086021505,126,-13.116704267061735,43.65079365079365
48,50,False,0.25,0.015,1.7,"('161', '127')",208,329,-9.345450655435796,0.9299678038295225,-25.08371632813634,48.93617021276596,205,2.0860737347087186,52.19512195121951,124,-11.431524390144512,43.54838709677419
48,50,False,0.25,0.015,1.9,"('161', '127')",208,313,-9.63562038337183,0.9219926707713035,-21.446552876286397,49.201277955271564,188,2.834644076264663,52.659574468085104,125,-12.470264459636498,44.0
48,50,False,0.3,0.012,1.7,"('161', '127')",208,324,-9.98649078943923,0.9242838522460682,-26.22863712025498,49.382716049382715,199,2.631698935796603,53.266331658291456,125,-12.618189725235831,43.2
48,50,False,0.3,0.015,1.7,"('161', '127')",208,325,-10.248371869408965,0.9225022720728319,-26.15546228262022,49.23076923076923,201,1.7282901183357433,52.736318407960205,124,-11.976661987744706,43.54838709677419
48,48,False,0.25,0.012,1.7,"('161', '127')",208,322,-12.206387039260362,0.9076015062814692,-24.51579691983258,48.75776397515528,205,3.002807116903976,52.6829268292683,117,-15.209194156164338,41.88034188034188
48,48,False,0.25,0.012,1.9,"('161', '127')",208,308,-12.35602258578935,0.8994834331744934,-21.035802595655635,49.35064935064935,188,3.708788183270518,53.72340425531915,120,-16.064810769059868,42.5
48,50,False,0.3,0.012,1.9,"('161', '127')",208,309,-12.372789977729168,0.8993987521465068,-21.7810952161987,48.86731391585761,183,0.7907988725408677,52.459016393442624,126,-13.16358885027003,43.65079365079365
48,48,False,0.25,0.015,1.7,"('161', '127')",208,323,-12.791645752258459,0.903419231315589,-24.692378017853514,48.60681114551084,207,1.7711085964806417,52.17391304347826,116,-14.562754348739098,42.241379310344826
48,50,False,0.3,0.015,1.9,"('161', '127')",208,310,-12.798304599771999,0.8964460018134294,-21.75735028912053,48.38709677419355,185,-0.27624348699308765,51.35135135135135,125,-12.522061112778905,44.0
48,48,False,0.25,0.015,1.9,"('161', '127')",208,309,-12.898692023598047,0.895575741335684,-21.05521456600357,48.86731391585761,190,2.519678938036586,52.63157894736842,119,-15.418370961634631,42.857142857142854
50,50,False,0.25,0.012,1.9,"('161', '127')",208,304,-13.088085668538248,0.8926309397203828,-25.270074570518496,49.34210526315789,179,1.0208758903025394,53.63128491620112,125,-14.108961558840784,43.2
48,48,False,0.3,0.012,1.7,"('161', '127')",208,318,-13.194687632220525,0.8991954761915263,-25.758332869323077,49.056603773584904,201,2.429086634053719,53.233830845771145,117,-15.623774266274243,41.88034188034188
50,50,False,0.25,0.015,1.9,"('161', '127')",208,306,-13.45438234420177,0.890163702773603,-25.189738116878395,49.01960784313725,182,0.008139407213773708,52.74725274725275,124,-13.462521751415544,43.54838709677419
48,48,False,0.3,0.015,1.7,"('161', '127')",208,319,-13.578447461987707,0.8965380150767297,-25.726939658050128,48.90282131661442,203,1.4037990667954126,52.70935960591133,116,-14.982246528783117,42.241379310344826
50,50,False,0.25,0.012,1.7,"('161', '127')",208,318,-14.880136431503384,0.8864794457039334,-31.594549503844256,48.742138364779876,193,2.173172832242268,52.84974093264248,125,-17.05330926374566,42.4
50,48,False,0.25,0.012,1.9,"('161', '127')",208,299,-15.231805226067014,0.8740112227360017,-23.836008515695358,49.163879598662206,181,0.8252628347719031,53.591160220994475,118,-16.057068060838922,42.3728813559322
50,50,False,0.25,0.015,1.7,"('161', '127')",208,320,-15.289022382356315,0.8836610684198545,-31.67138217787715,48.75,196,1.117847073964098,52.55102040816326,124,-16.40686945632042,42.74193548387097
48,48,False,0.3,0.012,1.9,"('161', '127')",208,305,-15.423473053894876,0.8745941183638091,-21.3107909652668,48.52459016393443,185,0.5881865707979861,52.43243243243243,120,-16.011659624692857,42.5
50,50,False,0.3,0.012,1.9,"('161', '127')",208,301,-15.554923788560867,0.8724605996781502,-25.568656830349276,48.50498338870432,176,-1.4074376649242484,52.27272727272727,125,-14.147486123636613,43.2
50,48,False,0.25,0.015,1.9,"('161', '127')",208,301,-15.717453984427985,0.8706327707665158,-23.79839980659557,48.837209302325576,184,-0.30682573101430455,52.71739130434783,117,-15.410628253413682,42.73504273504273
50,50,False,0.3,0.015,1.9,"('161', '127')",208,303,-15.924190157320789,0.8700744013009892,-25.488663649988197,48.18481848184818,179,-2.4182317711752948,51.39664804469274,124,-13.505958386145489,43.54838709677419
48,48,False,0.3,0.015,1.9,"('161', '127')",208,306,-15.970866425735156,0.8707760813164266,-21.32882766455043,48.03921568627451,187,-0.6007345385334202,51.33689839572193,119,-15.370131887201733,42.857142857142854
50,50,False,0.3,0.012,1.7,"('161', '127')",208,316,-16.551977085346138,0.8735697325986163,-31.958317843541934,48.41772151898734,191,0.5572000389787912,52.35602094240838,125,-17.10917712432493,42.4
50,50,False,0.3,0.015,1.7,"('161', '127')",208,318,-16.757609912032972,0.8723375284085504,-31.828894752624265,48.42767295597484,194,-0.2899605251991604,52.0618556701031,124,-16.467649386833806,42.74193548387097
50,48,False,0.25,0.012,1.7,"('161', '127')",208,311,-17.206979445628605,0.8666939782085101,-30.16048344902112,48.55305466237942,195,1.9775597767116322,52.820512820512825,116,-19.184539222340245,41.37931034482759
50,48,False,0.3,0.012,1.9,"('161', '127')",208,296,-17.605606864726575,0.8544530631166974,-24.098352579417366,48.310810810810814,178,-1.6100499666671269,52.24719101123596,118,-15.995556898059444,42.3728813559322
50,48,False,0.25,0.015,1.7,"('161', '127')",208,313,-17.73521747917897,0.8629616737157807,-30.280043867594326,48.56230031948881,198,0.8028819357360224,52.52525252525253,115,-18.538099414915006,41.73913043478261
50,48,False,0.3,0.015,1.9,"('161', '127')",208,298,-18.096751983283944,0.8511338513288241,-24.060141025418098,47.98657718120805,181,-2.742722822715624,51.38121546961326,117,-15.354029160568317,42.73504273504273
50,48,False,0.3,0.012,1.7,"('161', '127')",208,309,-18.760173928127436,0.8544796094392892,-30.488013592610027,48.22006472491909,193,0.3545877372359105,52.331606217616574,116,-19.114761665363343,41.37931034482759
50,48,False,0.3,0.015,1.7,"('161', '127')",208,311,-19.087685504611706,0.8523367453005012,-30.400372128054173,48.231511254019296,196,-0.6144515767394896,52.04081632653062,115,-18.473233927872215,41.73913043478261
